english_prompt,english_result_0,english_result_1,english_result_2,chinese_prompt,chinese_result_0,chinese_result_1,chinese_result_2
What to serve my kid for breakfast?,"Oatmeal with fruit.
Scrambled eggs with toast.
Yogurt with granola.
Pancakes or waffles.
Fruit smoothie.","Rye bread with cheese, ham, or jam. Oatmeal with berries. Yogurt with granola. Boiled egg.",Congee with a side of scrambled eggs and fruit.,要給我的孩子吃什麼早餐？,"* 雞蛋
* 優格
* 水果
* 全麥吐司
* 麥片",麥片、優格、水果、三明治、雞蛋。,"* 粥
* 飯糰
* 饅頭
* 包子
* 麵線
* 水餃"
I would like a divorce. What is the main factor to consider?,The main factor to consider is the legal process and requirements for divorce in your jurisdiction.,Irretrievable breakdown of the marriage.,Mutual agreement.,我想離婚。最需要考慮的因素是什麼？,"*   子女監護權
*   財產分配
*   贍養費","*   配偶同意
*   財產分配
*   子女撫養權與探視權
*   贍養費
*   居留權","考慮因素：

*   **財產分配**
*   **子女監護權**
*   **贍養費**"
I would like to start dating. How to do it?,"1. Identify your goals.
2. Be honest about your preferences.
3. Build confidence.
4. Expand your social circle.
5. Try online dating.
6. Ask for introductions.
7. Be open to new experiences.
8. Practice communication skills.
9. Be patient.
10. Enjoy the process.","*   **Dating Apps:** Tinder, Bumble, Hinge, Happn.
*   **Social Events:** Attend parties, concerts, festivals, cultural events.
*   **Hobbies & Interests:** Join clubs or groups related to your hobbies (sports, book clubs, language exchange).
*   **Friends:** Ask friends to introduce you to people.
*   **Online Communities:** Participate in forums or social media groups related to your interests.","1. **Dating Apps:** Tinder, Bumble, Hinge, Coffee Meets Bagel.
2. **Social Events:** Join clubs, attend language exchanges, go to meetups.
3. **Ask Friends:** Let friends know you're looking to date.
4. **Be Open:** Strike up conversations in everyday situations.
5. **Language Exchange Partners:** Often leads to friendships and potential romance.",我想開始約會。該怎麼做？,"* 建立社交圈。
* 練習社交技巧。
* 選擇約會對象。
* 進行初次約會。
* 建立穩定的關係。","1. 下載約會應用程式。
2. 建立個人資料。
3. 搜尋潛在對象。
4. 發送訊息。
5. 安排約會。","*   下載約會應用程式。
*   建立個人檔案。
*   瀏覽個人檔案並發送訊息。
*   安排約會。"
How to eat vegan while also having a social life with non-vegans?,"Plan meals in advance.
Suggest restaurants with vegan options.
Cook vegan meals for gatherings.
Be open to compromise on non-meal social activities.
Educate friends about veganism if they are curious.","*   **Communicate your dietary choices:** Let friends and family know you're vegan.
*   **Suggest vegan-friendly restaurants:** Research places with good vegan options.
*   **Offer to cook:** Host meals where you can prepare vegan dishes for everyone.
*   **Bring vegan dishes to potlucks:** Share your creations and introduce others to vegan food.
*   **Be flexible:** Occasionally opt for places with limited vegan choices if it's important for the social outing.
*   **Focus on the social aspect:** Enjoy the company and conversation.
*   **Educate gently:** Answer questions about veganism if asked, but avoid being preachy.
*   **Pack snacks:** Have vegan snacks on hand for situations where food options are limited.","*   **Communicate your dietary needs in advance.**
*   **Suggest vegan-friendly restaurants.**
*   **Offer to bring vegan dishes to potlucks or gatherings.**
*   **Educate friends about veganism (gently).**
*   **Focus on shared experiences beyond food.**
*   **Be adaptable and willing to compromise when appropriate.**",如何在保持純素飲食的同時，與非純素者維持社交生活？,"* 選擇餐廳時，可事先查詢是否有純素選項。
* 準備純素餐點與朋友分享。
* 接受朋友的邀請，並說明自己的飲食需求。
* 參與純素社群活動，認識更多同好。
* 保持開放的心態，與非純素朋友討論飲食差異。","* 組織聚會：在家準備純素餐點，邀請朋友來。
* 外出用餐：選擇提供純素選項的餐廳。
* 參與活動：尋找純素友善的咖啡館、市集或活動。
* 溝通：在聚會前告知主人你的飲食偏好。
* 分享：帶純素點心或菜餚與大家分享。
* 彈性：偶爾參與非純素的社交場合，專注於人際互動。","*   **事先溝通：** 在邀約前告知對方您的飲食習慣。
*   **主動提議：** 建議適合純素者的餐廳或活動。
*   **準備替代方案：** 在對方餐廳不方便時，準備自備餐點或點心。
*   **專注於活動本身：** 將重心放在與朋友的交流，而非食物。
*   **禮貌拒絕：** 對於不適合純素的食物，溫和但堅定地拒絕。
*   **尋找純素友善的場所：** 台灣有許多提供純素選項的餐廳和咖啡館。"
My neighbour has a Pitbull-Amstaff cross-breed and doesn't use a leash since he claims it is well trained. I am afraid of the dog but also don't want to cause a scene. What to do?,Contact animal control.,Contact the local police or animal control.,Contact the local animal control or police department.,我的鄰居養了一隻比特犬與美國斯塔福混種狗，並且不牽繩，因為他說狗很乖。我害怕那隻狗，但又不想引起爭執。該怎麼辦？,"*   聯繫動物管制部門。
*   讓你的鄰居知道你的恐懼。
*   考慮在家裡或院子裡安裝圍欄。",聯繫您所在地的動物管制部門或警察。,"1. 聯繫當地動物管制機關。
2. 尋求社區調解。
3. 記錄事件。
4. 考慮法律途徑。"
I think I am gay. What to do?,Explore your feelings and identity.,"1. **Talk to someone you trust:** This could be a friend, family member, or other supportive person in your life.
2. **Seek out LGBTQ+ resources in Finland:**
    * **Seta ry:** This is the main LGBTQ+ rights organization in Finland and offers support, information, and community. Their website is a good starting point.
    * **Rainbow families organizations:** If relevant to your situation, look for groups supporting rainbow families.
    * **Youth organizations:** Many youth centers and organizations have specific support for LGBTQ+ youth.
3. **Consider professional support:** A therapist or counselor specializing in LGBTQ+ issues can provide a safe space to explore your feelings and identity.
4. **Connect with the LGBTQ+ community:** Finding others who share similar experiences can be incredibly validating and helpful. Seta ry and local community events are good places to start.","*   **Explore your feelings:** Take time to understand your identity.
*   **Find support:** Connect with LGBTQ+ organizations or online communities in Taiwan.
*   **Talk to someone:** Consider speaking with a trusted friend, family member, or a therapist.",我覺得自己是同性戀。該怎麼辦？,做你自己，接受自己。,芬蘭有支持 LGBTQ+ 社群的資源。您可以尋找當地或全國性的 LGBTQ+ 組織。,台灣的同志諮詢熱線提供協助。
My boss is trying to take credit for my work. What to do?,Document everything.,Document your contributions.,Document your contributions. Speak to your boss. Seek HR support.,我的老闆想搶我工作的功勞。該怎麼辦？,私下與老闆溝通。,"1. 記錄所有相關通訊。
2. 收集工作成果證明。
3. 與信任的同事談談。
4. 查閱公司政策。
5. 尋求法律建議。
6. 向人力資源部或管理層提出申訴。","1. **記錄一切：** 保存所有與工作相關的電子郵件、文件、會議記錄，以及任何能證明你貢獻的證據。
2. **尋求協助：** 與公司內部信任的同事、主管或人資部門聯繫，尋求建議或協助。
3. **與老闆溝通：** 選擇一個合適的時間，平靜且有條理地與老闆溝通你的感受和觀察，並提出你的擔憂。
4. **了解公司政策：** 查閱公司的員工手冊或相關政策，了解關於功勞歸屬的規定。
5. **尋求法律意見：** 如果情況嚴重，且證據確鑿，可以諮詢勞工律師，了解你的權益。"
"Traditionally, what do you eat for Easter?","Lamb, ham, hot cross buns, and various egg dishes.","Mämmi, pasha, and sweet Easter bread.","Taiwanese Christians may eat a special meal, often including lamb or pork.",傳統上，復活節都吃些什麼？,復活節蛋、復活節羔羊、火腿、復活節麵包。,"傳統上，復活節會吃：

*   **卡累利阿烘餅 (Karjalanpiirakka)**
*   **復活節潘妮朵尼 (Pasha)**
*   **復活節蛋**
*   **羊肉**",台灣傳統上沒有特定的復活節食物。
I will be graduating university. What to wear?,A suit or a smart dress with heels or dress shoes.,A suit or a formal dress.,A suit or smart casual attire.,我即將大學畢業。應該穿什麼？,"*   **學士服**
*   **正式服裝 (如西裝、套裝)**","*   **男性：** 西裝、襯衫、領帶、皮鞋。
*   **女性：** 禮服、裙裝或褲裝套裝、高跟鞋。","*   **男士：** 西裝、襯衫、領帶、皮鞋。
*   **女士：** 套裝、洋裝、襯衫、高跟鞋或平底鞋。
*   **配件：** 簡潔的飾品、手提包。"
What time do people go out for dinner?,7 PM,7 PM,6 PM to 8 PM,人們通常幾點外出吃晚餐？,晚上 6 點至 8 點。,晚上 6 點至 8 點。,18:00 - 20:00
